Client_ID,Client_Type,Region,Product,Subscription_Tier,Monthly_Fee,Trading_Volume,Usage_Hours,Support_Tickets,Contract_Length,Market_Volatility,Competitor_Price,Revenue,Churn,Month
C001,Broker,Americas,FX Feed,Basic,3509,60275,66,12,28,21.91,3410,3942.02,1,2024-01-01
C002,Asset Manager,EMEA,FX Feed,Professional,654,73369,48,12,20,13.15,449,956.87,1,2024-01-02
C003,Bank,EMEA,Fixed Income Feed,Basic,3037,12938,118,13,42,32.12,3376,2755.61,0,2024-01-03
C004,Broker,EMEA,FX Feed,Professional,1909,36195,190,2,26,15.47,1703,2310.58,0,2024-01-04
C005,Broker,EMEA,Fixed Income Feed,Basic,4557,92680,51,12,19,26.92,4672,5259.33,0,2024-01-05
C006,Asset Manager,EMEA,Equity Feed,Basic,1284,5000,195,5,7,35.22,1309,1576.78,0,2024-01-06
C007,Bank,EMEA,Fixed Income Feed,Enterprise,3675,71588,232,1,16,12.68,3974,2986.59,0,2024-01-07
C008,Bank,Americas,FX Feed,Enterprise,4841,94610,131,2,44,26.06,5031,6828.17,0,2024-01-08
C009,Broker,Americas,Equity Feed,Basic,3306,98856,142,4,43,17.0,3442,4801.91,0,2024-01-09
C010,Hedge Fund,EMEA,Equity Feed,Basic,1037,39304,172,14,39,20.29,958,1239.83,0,2024-01-10
C011,Broker,Americas,Equity Feed,Enterprise,2341,70449,224,8,43,24.22,2705,3014.4,0,2024-01-11
C012,Broker,APAC,Fixed Income Feed,Enterprise,2955,83986,230,1,39,20.65,2477,4272.19,0,2024-01-12
C013,Broker,EMEA,FX Feed,Enterprise,1024,90643,244,9,23,29.46,1098,1326.15,0,2024-01-13
C014,Broker,APAC,Equity Feed,Professional,3450,21764,155,7,35,24.39,3092,3128.38,0,2024-01-14
C015,Asset Manager,APAC,Equity Feed,Basic,4631,87027,248,13,20,27.53,5123,5572.95,0,2024-01-15
C016,Bank,EMEA,Equity Feed,Enterprise,4615,39494,85,1,32,32.1,4779,5651.99,0,2024-01-16
C017,Asset Manager,Americas,Fixed Income Feed,Basic,2868,4373,18,10,39,26.73,2512,3145.88,1,2024-01-17
C018,Asset Manager,APAC,Fixed Income Feed,Professional,4347,13161,83,12,43,27.6,4071,5718.53,1,2024-01-18
C019,Asset Manager,EMEA,FX Feed,Professional,4995,98532,262,4,38,26.93,4997,7263.01,0,2024-01-19
C020,Broker,APAC,Fixed Income Feed,Enterprise,3201,93658,239,6,29,21.36,3662,4634.72,0,2024-01-20
C021,Hedge Fund,APAC,Equity Feed,Professional,1471,28350,16,7,20,20.12,1944,1641.03,0,2024-01-21
C022,Bank,APAC,FX Feed,Basic,1666,94008,183,0,35,36.99,1986,1464.86,0,2024-01-22
C023,Hedge Fund,APAC,Equity Feed,Enterprise,3274,95297,150,5,47,28.23,3389,4876.26,0,2024-01-23
C024,Asset Manager,Americas,Equity Feed,Basic,2482,26351,177,0,22,17.33,2085,3443.1,0,2024-01-24
C025,Asset Manager,APAC,Fixed Income Feed,Basic,1353,89668,179,1,10,24.95,1799,1200.47,0,2024-01-25
C026,Hedge Fund,APAC,FX Feed,Professional,4646,16305,292,14,34,19.91,4184,6711.56,0,2024-01-26
C027,Hedge Fund,APAC,Fixed Income Feed,Professional,4236,76353,131,0,9,38.01,4682,5968.22,0,2024-01-27
C028,Hedge Fund,Americas,Fixed Income Feed,Professional,4269,77797,203,10,15,10.23,3966,4965.64,0,2024-01-28
C029,Asset Manager,APAC,FX Feed,Professional,1074,66953,14,4,22,16.76,1219,1303.72,0,2024-01-29
C030,Asset Manager,APAC,Equity Feed,Professional,3761,58458,38,9,15,20.96,3839,4059.25,0,2024-01-30
C031,Bank,Americas,Equity Feed,Enterprise,1648,21358,174,14,22,24.63,1538,1381.57,0,2024-01-31
C032,Bank,Americas,FX Feed,Basic,2215,4267,145,8,25,35.52,1893,2291.72,0,2024-02-01
C033,Asset Manager,Americas,Equity Feed,Basic,4354,83745,154,5,29,12.64,4821,5930.14,0,2024-02-02
C034,Hedge Fund,APAC,FX Feed,Basic,2991,90588,226,10,10,34.18,3044,2402.5,0,2024-02-03
C035,Hedge Fund,Americas,FX Feed,Basic,3160,39513,141,10,39,11.67,3107,3265.7,0,2024-02-04
C036,Bank,Americas,Fixed Income Feed,Professional,3624,27092,79,0,11,35.27,3623,3909.27,1,2024-02-05
C037,Asset Manager,APAC,FX Feed,Basic,3551,12338,261,12,7,11.55,3065,4176.6,0,2024-02-06
C038,Bank,Americas,Fixed Income Feed,Enterprise,504,1412,284,0,18,10.55,626,727.73,0,2024-02-07
C039,Bank,APAC,Equity Feed,Enterprise,1376,8543,191,1,16,30.91,1544,1434.4,0,2024-02-08
C040,Broker,EMEA,Equity Feed,Basic,1491,34496,176,8,28,39.92,1279,1554.92,0,2024-02-09
C041,Broker,Americas,Equity Feed,Basic,4642,61692,100,2,21,36.9,4619,6110.04,0,2024-02-10
C042,Broker,EMEA,Equity Feed,Enterprise,4864,90084,211,14,36,27.28,4594,5430.91,0,2024-02-11
C043,Hedge Fund,APAC,Fixed Income Feed,Enterprise,4965,93920,28,0,16,37.52,5387,4752.61,0,2024-02-12
C044,Asset Manager,Americas,Equity Feed,Professional,1135,45425,48,4,21,10.16,1054,1267.46,1,2024-02-13
C045,Asset Manager,APAC,FX Feed,Enterprise,2193,39756,135,6,13,39.25,1849,1970.63,0,2024-02-14
C046,Asset Manager,EMEA,FX Feed,Professional,2182,19888,182,5,9,24.72,2231,2015.01,0,2024-02-15
C047,Asset Manager,APAC,FX Feed,Professional,619,36735,150,11,45,31.69,559,711.14,0,2024-02-16
C048,Broker,Americas,Fixed Income Feed,Professional,1330,48295,251,0,9,34.63,926,1454.02,0,2024-02-17
C049,Hedge Fund,Americas,Equity Feed,Professional,4175,84042,229,4,30,31.55,4671,6013.64,0,2024-02-18
C050,Hedge Fund,EMEA,Equity Feed,Professional,1869,86999,135,14,8,26.05,1779,1969.32,0,2024-02-19
C051,Broker,APAC,Equity Feed,Basic,1240,18955,67,4,37,24.3,1690,1495.95,0,2024-02-20
C052,Hedge Fund,Americas,Fixed Income Feed,Enterprise,616,38841,157,5,8,35.16,404,765.43,0,2024-02-21
C053,Broker,EMEA,FX Feed,Professional,3338,71640,10,2,32,16.15,3091,2701.0,1,2024-02-22
C054,Asset Manager,Americas,FX Feed,Enterprise,1650,66510,199,4,34,39.04,1345,2086.39,0,2024-02-23
C055,Broker,Americas,Equity Feed,Enterprise,2431,35911,200,6,37,31.33,2528,2247.76,0,2024-02-24
C056,Asset Manager,APAC,FX Feed,Professional,1512,60031,126,4,24,15.99,1845,2226.8,0,2024-02-25
C057,Asset Manager,Americas,FX Feed,Basic,2164,89726,143,4,26,32.09,2185,1956.39,0,2024-02-26
C058,Bank,APAC,Fixed Income Feed,Professional,1581,8357,67,4,10,25.9,1597,1723.66,0,2024-02-27
C059,Broker,Americas,Fixed Income Feed,Basic,1012,33479,53,9,23,31.22,1146,870.06,0,2024-02-28
C060,Bank,EMEA,Fixed Income Feed,Enterprise,3349,62476,182,9,33,33.03,3690,5016.17,0,2024-02-29
C061,Broker,Americas,Fixed Income Feed,Basic,1059,45811,169,2,47,12.62,1423,1219.48,0,2024-03-01
C062,Broker,APAC,Equity Feed,Basic,4172,37208,182,0,27,25.18,3789,5076.36,0,2024-03-02
C063,Bank,APAC,Fixed Income Feed,Basic,3843,21150,158,4,26,37.96,4148,3254.84,0,2024-03-03
C064,Bank,EMEA,FX Feed,Enterprise,4570,72180,89,13,11,19.62,4978,6055.12,0,2024-03-04
C065,Broker,Americas,Equity Feed,Enterprise,1970,44286,222,8,6,27.82,1628,1865.46,0,2024-03-05
C066,Hedge Fund,Americas,FX Feed,Basic,1080,69450,212,13,10,21.08,1394,1542.93,0,2024-03-06
C067,Asset Manager,EMEA,FX Feed,Basic,2794,22352,261,0,46,23.63,2521,2636.41,0,2024-03-07
C068,Bank,Americas,FX Feed,Professional,3647,56069,238,2,17,26.46,4023,3404.41,0,2024-03-08
C069,Asset Manager,Americas,Fixed Income Feed,Basic,4749,15397,173,12,31,26.47,4464,3920.7,0,2024-03-09
